Category,Synonym
Glucose,glucose
Glucose,serum glucose
Glucose,plasma glucose
Glucose,glucose level
Glucose,glucose measurement
Glucose,blood sugar
Glucose,blood glucose
Glucose,FINGERSTICK
Glucose,sugars
Glucose,FBG
Glucose,fasting blood glucose
Glucose,BG
Glucose,glycemia
Glucose,glycemic
Glucose,glucose measurement
Hypoglycemic,Hypoglycemic
Hypoglycemic,low blood sugar
Hypoglycemic,low glucose
Hypoglycemic,hypoglycemia
Hypoglycemic,diabetic coma
Hypoglycemic,diabetic shock
Hyperglycemic,Hyperglycemic
Hyperglycemic,high blood sugar
Hyperglycemic,high glucose
Hyperglycemic,hyper
Hyperglycemic,hyperglycemia
Hyperglycemic,DKA
Hyperglycemic,diabetic ketoacidosis
