Category,Synonym
Glucose,sugars
Hypoglycemic,diabetic coma
Hypoglycemic,diabetic shock
Hyperglycemic,Hyperglycemic
Hyperglycemic,DKA
Hyperglycemic,diabetic ketoacidosis
